p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,group
1.7526883313849478e-8,0.6750300787770374,0.128,0.081,3.7330508770168006e-4,6,KIZ,all
1.7935550133049386e-8,0.26926673181930766,0.542,0.484,3.8200928228381887e-4,6,FAH,all
1.853583584033336e-8,0.7128970849074208,0.199,0.143,3.947947675632602e-4,6,ANKRD10,all
1.8565073141899877e-8,0.5489921039422847,0.236,0.175,3.954174928493255e-4,6,TMEM134,all
1.863151910770201e-8,0.6824057679234237,0.178,0.124,3.968327254749451e-4,6,CCDC28A,all
1.869191165185681e-8,0.5994292932669403,0.156,0.104,3.981190262728982e-4,6,P4HTM,all
1.886397426186643e-8,0.36865591697224076,0.334,0.267,4.017837878034931e-4,6,YBEY,all
1.932199594975765e-8,0.2933193353137781,0.489,0.431,4.115391917338882e-4,6,APLP2,all
2.015499424697753e-8,0.5155862706423706,0.159,0.107,4.292812224663744e-4,6,BBS2,all
2.037898921849079e-8,0.7242204972912658,0.121,0.076,4.340520913646353e-4,6,RBM43,all
2.1137483247644747e-8,0.44364777634665,0.289,0.226,4.5020725569158547e-4,6,SH3D19,all
2.1656011116185798e-8,0.3931870307571128,0.381,0.315,4.612513807636413e-4,6,RALGPS2,all
2.2149560102027695e-8,0.839714013549067,0.102,0.061,4.717634806130879e-4,6,CCDC18-AS1,all
2.2742061494882843e-8,0.5542388375478486,0.228,0.168,4.843831677795097e-4,6,GATAD1,all
2.2830965379919102e-8,0.617327472154769,0.215,0.158,4.8627673162689693e-4,6,LRIG1,all
2.3136590069768988e-8,0.296248519886944,0.377,0.309,4.927862318960097e-4,6,AKAP9,all
2.4565515911979553e-8,0.8160563312106106,0.101,0.061,5.232209234092525e-4,6,HSPB8,all
2.508544982645011e-8,0.474688869303167,0.273,0.212,5.342949958535609e-4,6,RFNG,all
2.5551167817975977e-8,0.9397015666801183,0.126,0.08,5.442143233550704e-4,6,NDRG1,all
2.6636347552977498e-8,0.40006104718529256,0.337,0.272,5.673275665308677e-4,6,ZSCAN16-AS1,all
2.6916235200122145e-8,0.45132795732347075,0.294,0.23,5.732888935274015e-4,6,PAM,all
2.752662288846195e-8,0.748498217531075,0.113,0.07,5.862895409013511e-4,6,MLLT3,all
2.9073674059005938e-8,0.5518570725765524,0.241,0.182,6.192401837827675e-4,6,NARF,all
2.9077588985549435e-8,0.3712648913853359,0.373,0.305,6.193235678032174e-4,6,AHCYL1,all
2.9309230894145636e-8,0.6721487581572712,0.134,0.087,6.242573088144079e-4,6,PHF21A,all
3.09900936875761e-8,0.6122486903455915,0.157,0.106,6.600580054516833e-4,6,CFH,all
