p,avg_Log2FC,pct.1,pct.2,p_adj,cluster_my,symbol,group
0.0013077675348039618,-0.7621577110739206,0.056,0.079,1,2,TMEM181,all
0.0013100634392105492,-3.8064754866223884,0.001,0.009,1,2,AMN,all
0.0013152342949514712,-3.5451250598451507,0.001,0.009,1,2,AC078883.3,all
0.001315493331335506,-3.5820639450042453,0.001,0.009,1,2,E2F1,all
0.0013175297311148447,-0.5397149343891541,0.071,0.097,1,2,NIPA2,all
0.0013181299590015396,0.434122504756707,0.068,0.048,1,2,STK38L,all
0.0013222833044311986,-0.7745218975667796,0.014,0.029,1,2,ACP6,all
0.001323743103545632,-1.0902817279337276,0.022,0.039,1,2,WDPCP,all
0.001325660125333019,-0.7408525861690527,0.027,0.046,1,2,ZNF33B,all
0.001327388588765315,-0.545759799331162,0.102,0.13,1,2,PRKAG1,all
0.0013373981514034326,-0.5525935831140987,0.069,0.094,1,2,CLPTM1,all
0.0013382874515579027,-1.500757818759257,0.008,0.02,1,2,AMN1,all
0.0013392808575703886,-3.389548182585732,0.001,0.01,1,2,SLC16A11,all
0.001339347513095749,-2.1090346741236026,0.002,0.011,1,2,CEP70,all
0.0013404292864132887,-2.2588585805001724,0.003,0.013,1,2,RP11-304F15.4,all
0.0013411858451595497,-0.09857090498798504,0.788,0.839,1,2,YBX1,all
0.0013461852992463998,-0.5398014068133594,0.097,0.125,1,2,ZNF800,all
0.0013464546245798503,-0.7898026562848206,0.016,0.031,1,2,GHRL,all
0.0013470606905780674,-0.6940033328896091,0.026,0.044,1,2,RP5-882C2.2,all
0.001347356271183975,0.7831455425114702,0.034,0.021,1,2,PHLPP1,all
0.0013487805206524835,0.32231983085527105,0.073,0.052,1,2,CSNK1G1,all
0.0013518078346295018,0.971135277532591,0.02,0.01,1,2,ZSCAN29,all
0.0013525551068158039,-0.7937070653848188,0.046,0.068,1,2,EBAG9,all
0.0013556926692150268,-0.7467602234161843,0.029,0.048,1,2,TRAP1,all
0.0013610421361189035,-0.5815728083540992,0.036,0.057,1,2,MRPL19,all
0.001364042871351212,-0.3440177102917963,0.095,0.124,1,2,SHARPIN,all
0.0013679888752611375,-0.8478600252419075,0.007,0.019,1,2,TTN,all
0.0013742134905325165,-0.6647727479636114,0.084,0.11,1,2,DDX54,all
0.0013746824047288653,0.6142948547132172,0.024,0.013,1,2,PIP5K1B,all
0.0013794086721559018,0.7018455170938429,0.047,0.031,1,2,PACS2,all
0.0013890676703350795,-0.3663580236845795,0.165,0.197,1,2,PRPF4B,all
0.001393222376880395,-1.3255815137012315,0.013,0.027,1,2,PTRF,all
0.0013932831957825646,-0.9349343166363164,0.011,0.025,1,2,ZNF180,all
0.0013976062693843792,0.38633055478091594,0.124,0.096,1,2,PANK2,all
0.001404164914016383,0.3033730941533692,0.147,0.116,1,2,BIRC2,all
0.0014111765123185481,-4.206445166520298,0.001,0.009,1,2,C8orf88,all
0.0014149889104761078,-2.6891280903050268,0.002,0.011,1,2,KCNK12,all
0.0014178063802168484,0.36061470094511416,0.091,0.067,1,2,DDAH2,all
0.001422828771761979,0.49784850529444524,0.068,0.047,1,2,ZADH2,all
0.00142537351725509,-0.6082291530917683,0.028,0.047,1,2,CDC14A,all
0.0014289097439382054,-1.9072218407933477,0.007,0.019,1,2,GOLPH3L,all
0.0014292730116667704,-0.6490744710643657,0.065,0.09,1,2,CEP135,all
0.0014341385847038985,-2.184399524072804,0.001,0.009,1,2,LARGE,all
0.0014388351705193238,0.3150111964815601,0.263,0.224,1,2,KIF5B,all
0.0014395071016822711,-1.704585212165088,0.004,0.014,1,2,AC007161.5,all
0.0014426907683510904,-0.8000456914293304,0.053,0.075,1,2,QTRT1,all
0.0014445770251339497,0.8092935525074836,0.014,0.006,1,2,C1QA,all
0.0014454713745238794,-1.6311901013831136,0.009,0.021,1,2,ZNF777,all
0.0014466727751320364,-0.6242620009973414,0.053,0.076,1,2,SUPT20H,all
0.0014506440165535821,0.5888969524072998,0.049,0.032,1,2,TAB3,all
0.0014549348008525474,-1.9508881473532211,0.004,0.015,1,2,SPRY1,all
0.0014635821515546937,-1.480923716219972,0.009,0.021,1,2,PXN-AS1,all
0.001464371437188805,-2.4754785451273644,0.001,0.01,1,2,CDC14B,all
0.0014700110382454322,-1.2894574785418857,0.009,0.022,1,2,FBXL8,all
0.0014779915922560926,-0.7103954709063975,0.013,0.027,1,2,GDPD5,all
0.0014795905961851013,-5.39721185028386,0,0.007,1,2,TRAV4,all
0.0014841656927539863,0.6491094482132245,0.036,0.022,1,2,HMGCR,all
0.0014854676595893168,-0.6316806443405802,0.066,0.091,1,2,FTX,all
0.0014858415903556098,0.4858323295743976,0.08,0.058,1,2,ANKRD28,all
0.0014902463957712307,-0.6987843976105497,0.044,0.066,1,2,CDK10,all
0.0014914947024426957,0.818599402629518,0.014,0.006,1,2,ABHD4,all
0.0014952118755623758,-2.3118235665412827,0.004,0.014,1,2,ZNF563,all
0.0014972812702740551,-0.8267230084447044,0.038,0.058,1,2,ZNF677,all
0.001499620939496919,1.6394467843457008,0.011,0.004,1,2,RP11-1017G21.5,all
0.0015016384507015106,-0.7548852873613145,0.024,0.042,1,2,TMEM68,all
0.0015017787167918555,-0.20082880190783303,0.424,0.455,1,2,EID1,all
0.0015057274381562096,-0.5829181958578316,0.092,0.119,1,2,ACTR10,all
0.0015157726197886259,-1.1558860927279824,0.019,0.035,1,2,EID2B,all
0.0015208187783213238,0.4638359460090924,0.067,0.047,1,2,KDM6A,all
0.0015231216052273107,-0.5030523023310647,0.095,0.122,1,2,NUTF2,all
0.0015235988941581726,1.5730983352691252,0.007,0.002,1,2,HCG27,all
0.0015251730456974893,-1.5050576187073799,0.008,0.02,1,2,SRP14-AS1,all
0.0015331524407223086,0.3278450898343057,0.031,0.018,1,2,PCSK5,all
0.0015368306863604714,-1.308333224893766,0.012,0.026,1,2,PINX1,all
0.0015387317666572915,1.7451219284849602,0.007,0.002,1,2,ALDH4A1,all
0.0015407239523438383,-1.614465202913359,0.006,0.018,1,2,NARS2,all
0.001545009679244314,0.40956513066198097,0.072,0.051,1,2,MIEF1,all
0.0015453776121564604,-0.7403739474046032,0.019,0.034,1,2,GATS,all
0.001546717120769539,-2.2881281087581673,0.001,0.009,1,2,ACP7,all
0.0015574264034817751,-0.9820070505160454,0.012,0.026,1,2,RP11-110G21.1,all
0.0015584556228920503,0.9047936395274947,0.033,0.02,1,2,XRCC6BP1,all
0.0015613230374205427,-3.2924951484662577,0.001,0.01,1,2,TMEM117,all
0.0015620175066162513,0.3104992100086077,0.156,0.125,1,2,IFNAR1,all
0.0015649477590882726,0.8853175314374293,0.021,0.011,1,2,DHRS9,all
0.00157053747357992,-0.3574328102916364,0.109,0.138,1,2,PPP6R1,all
0.001571054864197077,-1.2773309507948825,0.008,0.02,1,2,RP11-422P24.12,all
0.0015791153024709216,-0.829444949514341,0.016,0.031,1,2,CLDN15,all
0.001583249183406621,-1.4556853796614257,0.006,0.017,1,2,RP11-267M23.4,all
0.0015854259756064946,-1.1277358824290475,0.008,0.02,1,2,CCDC127,all
0.0015894320177539016,-1.2627404487509715,0.014,0.029,1,2,LINC00909,all
0.0015907840809553054,-0.13993741988272612,0.527,0.563,1,2,SET,all
0.0015942591398282492,1.9871871444973994,0.006,0.002,1,2,RP11-514O12.4,all
0.0015968272721327802,0.20286442261347548,0.512,0.479,1,2,ATP5O,all
0.0015974738924980046,-5.137261543015362,0,0.007,1,2,IFNG-AS1,all
0.0015990166267823012,1.9492535880946313,0.006,0.002,1,2,TBC1D29,all
0.001602111218345122,0.5695264794560924,0.06,0.042,1,2,RP11-1000B6.5,all
0.0016042229634851846,0.3339124367755695,0.315,0.272,1,2,RP5-1171I10.5,all
0.0016042801131406997,-1.2795967532191215,0.006,0.018,1,2,C12orf73,all
0.0016070088555677777,-0.38936324271951017,0.149,0.18,1,2,VCP,all
0.0016223173460874314,0.6487215188751638,0.065,0.046,1,2,SAP25,all
0.0016243753816849197,-1.6248346606282955,0.014,0.028,1,2,DENND5B,all
0.0016252883294657933,0.3308163879092789,0.073,0.052,1,2,NEU1,all
0.0016287909386681527,-0.47086919037762565,0.122,0.151,1,2,TAF11,all
0.0016322839389441308,0.6909183200289384,0.02,0.01,1,2,FOXP4,all
0.001634753747778279,-0.867090410786282,0.026,0.044,1,2,RRP1,all
0.001637747215154706,-0.9411187701421979,0.019,0.034,1,2,RP11-1090M7.1,all
0.0016385793513950513,-0.6705405002941542,0.086,0.111,1,2,YARS,all
0.0016418816553593648,0.5398007534955545,0.058,0.04,1,2,CBR1,all
0.0016423671056041214,-1.3879416563836555,0.008,0.02,1,2,RILPL1,all
0.0016426363564116778,2.2790326492642174,0.009,0.003,1,2,IL1R2,all
0.0016496102472826964,-3.5345196075497363,0.001,0.008,1,2,NEO1,all
0.001659375107964199,-3.4222963175940144,0.001,0.008,1,2,TRBV3-1,all
0.0016623318709217856,-0.3650273079247964,0.167,0.197,1,2,PPP4R3A,all
0.0016667690136782957,-1.8934502168150926,0.004,0.014,1,2,SLC14A1,all
0.0016732732857738656,-3.970113824902737,0.001,0.01,1,2,PODXL2,all
0.001673878302050068,0.43097355043773433,0.1,0.076,1,2,TMEM18,all
0.0016754696143967797,-0.36653834803867313,0.121,0.152,1,2,RAB4A,all
0.0016759560896465336,0.20993766240181577,0.354,0.312,1,2,CDKN2D,all
